BRAND,STATE,TALUKA,DISTRICT,COUNTER_CODE,LAT,LONG,COUNTER_POTENTIAL
SHREE,Delhi,ALIPUR,DELHI,231905,28.697026,77.188653,800
SHREE,Delhi,ALIPUR,DELHI,804845,28.740567,77.197827,800
SHREE,Delhi,ALIPUR,DELHI,779636,28.702268,77.0598642,250
SHREE,Delhi,ALIPUR,DELHI,845000,28.730799,77.163785,300
BANGUR,Delhi,ALIPUR,DELHI,873226,28.68172,77.154218,225
ROCKSTRONG,Delhi,ALIPUR,DELHI,898108,28.83324793,77.17914195,100
ROCKSTRONG,Delhi,CIVIL LINES,DELHI,311658,28.772042,77.173301,250
SHREE,Delhi,CIVIL LINES,DELHI,1569,28.60997,77.07485,250
SHREE,Delhi,CIVIL LINES,DELHI,826767,28.663109,77.181505,800
SHREE,Delhi,CIVIL LINES,DELHI,86158,28.821809,77.169878,700
SHREE,Delhi,CIVIL LINES,DELHI,857224,28.724162,77.222051,450
SHREE,Delhi,CIVIL LINES,DELHI,899761,28.71558,77.21619,100
BANGUR,Delhi,CIVIL LINES,DELHI,906522,28.68089,77.135356,3000
SHREE,Delhi,DEFENCE COLONY,DELHI,867303,28.5820837,77.2511732,1500
SHREE,Delhi,DELHI CONTONMENT,DELHI,850444,28.60776864,77.06857813,150
SHREE,Delhi,DELHI CONTONMENT,DELHI,856040,28.612971,77.315315,1000
SHREE,Delhi,DELHI CONTONMENT,DELHI,633844,28.594382,77.047718,700
BANGUR,Delhi,DELHI CONTONMENT,DELHI,849594,28.591146,77.088965,150
BANGUR,Delhi,DWARKA,DELHI,300740,28.615205,77.056764,1200
BANGUR,Delhi,DWARKA,DELHI,838903,28.611778,77.3022168,3000
BANGUR,Delhi,DWARKA,DELHI,889010,28.58401922,77.05697318,300
BANGUR,Delhi,DWARKA,DELHI,9336,28.617801,77.061141,1000
BANGUR,Delhi,DWARKA,DELHI,845770,28.57328,77.076461,3000
BANGUR,Delhi,DWARKA,DELHI,857084,28.605044,77.102996,200
BANGUR,Delhi,DWARKA,DELHI,887739,28.627177,77.061228,2500
BANGUR,Delhi,DWARKA,DELHI,263836,28.576847,77.02742,400
BANGUR,Delhi,DWARKA,DELHI,626739,28.320587,77.049979,150
BANGUR,Delhi,DWARKA,DELHI,752884,28.65486,77.03975,350
BANGUR,Delhi,DWARKA,DELHI,845559,28.618835,77.061776,150
BANGUR,Delhi,DWARKA,DELHI,875773,28.723278,77.075042,100
BANGUR,Delhi,DWARKA,DELHI,858915,28.638886,77.032609,1500
BANGUR,Delhi,DWARKA,DELHI,847062,28.618228,77.062324,200
BANGUR,Delhi,DWARKA,DELHI,813317,28.615205,77.056764,1200
BANGUR,Delhi,DWARKA,DELHI,813594,28.617801,77.061141,1000
BANGUR,Delhi,DWARKA,DELHI,819889,28.627317,77.056536,200
BANGUR,Delhi,DWARKA,DELHI,811209,28.576847,77.02742,400
BANGUR,Delhi,DWARKA,DELHI,860873,28.320587,77.049979,150
BANGUR,Delhi,DWARKA,DELHI,812863,28.65486,77.03975,350
BANGUR,Delhi,DWARKA,DELHI,875780,28.723278,77.075042,100
SHREE,Delhi,DWARKA,DELHI,1195,28.611778,77.3022168,3000
SHREE,Delhi,DWARKA,DELHI,848730,28.556038,77.960121,100
