ORG,SHIP_STATE,SHIP_DISTRICT,BRAND,INV_QTY
FGA,Uttar Pradesh,BIJNOR,Bangur,50
FGA,Uttar Pradesh,BIJNOR,Rockstrong,50
FGA,Uttar Pradesh,BIJNOR,Shree,50
FGA,Uttar Pradesh,MORADABAD,Rockstrong,50
FGA,Uttar Pradesh,MUZAFFARNAGAR,Bangur,50
FGA,Uttar Pradesh,MUZAFFARNAGAR,Shree,50
FGA,Uttar Pradesh,RAMPUR,Bangur,50
FGA,Uttar Pradesh,RAMPUR,Rockstrong,50
FGA,Uttar Pradesh,RAMPUR,Shree,50
FGA,Uttar Pradesh,SAHARANPUR,Bangur,64.73333333
FGA,Uttar Pradesh,SAHARANPUR,Rockstrong,50
FGA,Uttar Pradesh,SAHARANPUR,Shree,92.43233333
FGA,Uttranchal,CHAMPAWAT,Bangur,50
FGA,Uttranchal,CHAMPAWAT,Shree,50
FGA,Uttranchal,DEHRADOON,Bangur,50
FGA,Uttranchal,DEHRADOON,Rockstrong,98.1
FGA,Uttranchal,DEHRADOON,Shree,419.4
FGA,Uttranchal,HARIDWAR,Bangur,50
FGA,Uttranchal,HARIDWAR,Rockstrong,50
FGA,Uttranchal,HARIDWAR,Shree,75.59913333
FGA,Uttranchal,NENITAL (UTT),Bangur,50
FGA,Uttranchal,NENITAL (UTT),Shree,128.6666667
FGA,Uttranchal,POODI GADWAL,Bangur,51.03333333
FGA,Uttranchal,POODI GADWAL,Shree,50
FGA,Uttranchal,UDHAM SINGH NAGAR,Bangur,50
FGA,Uttranchal,UDHAM SINGH NAGAR,Rockstrong,50
FGA,Uttranchal,UDHAM SINGH NAGAR,Shree,50
FGB,Bihar,NAWADA,Shree,262.0116667
FGB,Delhi,DELHI,Bangur,50
FGB,Delhi,DELHI,Shree,50
FGB,Gujarat,AHMEDABAD,Bangur,50
FGB,Gujarat,AHMEDABAD,Shree,50
FGB,Gujarat,ANAND,Bangur,50
FGB,Gujarat,ANAND,Shree,50
FGB,Gujarat,BANASKANTA,Bangur,50
FGB,Gujarat,BANASKANTA,Shree,50
FGB,Gujarat,CHHOTA UDAIPUR,Shree,50
FGB,Gujarat,DAHOD,Bangur,50
FGB,Gujarat,GANDHINAGAR,Bangur,50
FGB,Gujarat,KHEDA,Bangur,50
FGB,Gujarat,MAHISAGAR,Shree,50
FGB,Gujarat,MEHSANA,Bangur,50
FGB,Gujarat,PANCHMAHAL,Bangur,50
FGB,Gujarat,PANCHMAHAL,Shree,50
FGB,Gujarat,PATAN,Shree,50
FGB,Gujarat,SABARKANTHA,Bangur,50
FGB,Gujarat,VADODARA,Bangur,50
FGB,Madhya Pradesh,AGAR,Bangur,50
FGB,Madhya Pradesh,AGAR,Shree,50
FGB,Madhya Pradesh,ASHOK NAGAR,Bangur,50
FGB,Madhya Pradesh,ASHOK NAGAR,Shree,50
FGB,Madhya Pradesh,BARWANI,Shree,50
FGB,Madhya Pradesh,BHIND,Bangur,50
FGB,Madhya Pradesh,BHIND,Shree,50
FGB,Madhya Pradesh,DHAR,Bangur,50
FGB,Madhya Pradesh,DHAR,Shree,50
FGB,Madhya Pradesh,GUNA,Bangur,50
FGB,Madhya Pradesh,GUNA,Shree,50
FGB,Madhya Pradesh,GWALIOR,Bangur,50
FGB,Madhya Pradesh,GWALIOR,Shree,50
FGB,Madhya Pradesh,INDORE,Bangur,63
FGB,Madhya Pradesh,INDORE,Shree,50
FGB,Madhya Pradesh,JHABUA,Shree,50
FGB,Madhya Pradesh,MANDSOUR,Bangur,50
FGB,Madhya Pradesh,MANDSOUR,Shree,50
FGB,Madhya Pradesh,MORENA,Bangur,50
FGB,Madhya Pradesh,MORENA,Shree,50
FGB,Madhya Pradesh,NEEMUCH,Bangur,50
FGB,Madhya Pradesh,NEEMUCH,Shree,50
FGB,Madhya Pradesh,RAJGARH,Bangur,50
FGB,Madhya Pradesh,RAJGARH,Shree,50
FGB,Madhya Pradesh,RATLAM,Bangur,50
FGB,Madhya Pradesh,RATLAM,Shree,50
FGB,Madhya Pradesh,SHAJAPUR,Shree,50
FGB,Madhya Pradesh,SHIVPURI,Shree,50
FGB,Madhya Pradesh,UJJAIN,Bangur,50
FGB,Madhya Pradesh,UJJAIN,Shree,50
FGB,Rajasthan,AJMER,Bangur,508.65
FGB,Rajasthan,AJMER,Rockstrong,50
