BRAND,STATE,TALUKA,DISTRICT,COLLECTED_ON,ADDRESS_BLOCK,COUNTER_CODE,COUNTER_NAME,COUNTER_TYPE,LAT,LONG,IS_SCL_COUNTER,IS_EXCLUSIVE_SHREE,IS_EXCLUSIVE_BANGUR,IS_EXCLUSIVE_ROCKSTRONG,SHREE_WHOLESALE,SHREE_RETAIL_SALE,BANGUR_RETAIL_SALE,BANGUR_WHOLESALE,ROCKSTRONG_RETAIL_SALE,ROCKSTRONG_WHOLESALE,ROUTE,TOTAL_RETAIL_SALES,TOTAL_WHOLESALE,COUNTER_ID
BANGUR,Delhi,ROHINI,DELHI,24-03-2023,Pritampura,906048,ARYAN CEMENT DISTRIBUTORS,Dealer,28.688424,77.121495,,,,,,,,,,,ROHINIBangur2,500,,101440
BANGUR,Delhi,ROHINI,DELHI,25-03-2023,Rohini,875418,HELLA INFRA MARKET RETAIL PRIVATE LIMITED,Dealer,28.702746,77.122908,,,,,,,,,,,ROHINIBangur2,500,,101395
BANGUR,Delhi,ROHINI,DELHI,26-03-2023,Rohini,906521,YADAV TRADING CO,Dealer,28.702744,77.122885,,,,,,,,,,,ROHINIBangur2,1500,,101448
BANGUR,Delhi,ROHINI,DELHI,27-03-2023,VIJAY VIHAR,272034,BISHT CEMENT STORE,Dealer,28.709278,77.100242,,,,,,,,,,,ROHINIBangur2,250,,101110
BANGUR,Delhi,ROHINI,DELHI,28-03-2023," SawroopNagar Road,Burari",866352,AUMZ STEEL,Dealer,28.757654,77.180392,,,,,,,,,,,ROHINIBangur1,500,,101379
BANGUR,Delhi,ROHINI,DELHI,29-03-2023,"Bawana Road , Smaaypur",807061,GARG TRADERS,Dealer,28.743802,77.145615,,,,,,,,,,,ROHINIBangur1,300,,101252
BANGUR,Delhi,ROHINI,DELHI,30-03-2023,Mukundpur,806844,NAVEEN TRADERS,Dealer,28.747328,77.179653,,,,,,,,,,,ROHINIBangur1,100,,101253
BANGUR,Delhi,ROHINI,DELHI,31-03-2023,Burari,809516,SEWA RAM BUILDERS,Dealer,28.749225,77.200414,,,,,,,,,,,ROHINIBangur1,80,,101249
BANGUR,Delhi,ROHINI,DELHI,01-04-2023,Nathupura,816512,SHREE RAM TRADERS,Dealer,28.771906,77.173241,,,,,,,,,,,ROHINIBangur1,200,,101261
BANGUR,Delhi,ROHINI,DELHI,02-04-2023," SawroopNagar Road,Burari",857717,SINGHAL TRADERS,Dealer,28.758272,77.185266,,,,,,,,,,,ROHINIBangur1,1200,,101342
BANGUR,Delhi,ROHINI,DELHI,03-04-2023,Sawroop Nagar,260013,UJJWAL TRADERS,Dealer,28.755879,77.152636,,,,,,,,,,,ROHINIBangur1,200,,101108
BANGUR,Delhi,SARASWATI VIHAR,DELHI,04-04-2023,Pritampura,905357,ESS KAY TRADING CO,Dealer,28.688418,77.121475,,,,,,,,,,,SARASWATI VIHARBangur1,2000,,101439
BANGUR,Delhi,PUNJABI BAGH,DELHI,05-04-2023,MANGOLPURI,838945,GUPTA MARBLE TILES AND CEMENT,Dealer,28.695255,77.10076,,,,,,,,,,,PUNJABI BAGHBangur1,445,,101288
BANGUR,Delhi,PUNJABI BAGH,DELHI,06-04-2023,Shakurbasti,873226,RAMA CEMENT AGENCY,Dealer,28.68172,77.154218,,,,,,,,,,,PUNJABI BAGHBangur2,225,,101375
BANGUR,Delhi,PUNJABI BAGH,DELHI,07-04-2023,PREM NAGAR,850362,RAMESH BUILDING MATERIAL,Dealer,28.687834,77.054382,,,,,,,,,,,PUNJABI BAGHBangur1,200,,101305
BANGUR,Delhi,PUNJABI BAGH,DELHI,08-04-2023,NANGLOI,9340,SANSAR SALES,Dealer,28.682618,77.05589,,,,,,,,,,,PUNJABI BAGHBangur1,4000,,101070
BANGUR,Delhi,ALIPUR,DELHI,09-04-2023,SHAHBAD DAIRY,843932,MITTAL BUILDING MATERIALS,Dealer,28.745291,77.097864,,,,,,,,,,,ALIPURBangur2,391,,101340
BANGUR,Delhi,ALIPUR,DELHI,10-04-2023,Bakhtawarpur,820194,SHREE HARI TRADERS,Dealer,28.821812,77.170822,,,,,,,,,,,ALIPURBangur1,120,,101260
BANGUR,Delhi,KOTWALI,DELHI,11-04-2023,DARYAGANJ,686293,NEW HINDUSTAN STONE AGENCY,Dealer,28.64164,77.23551,,,,,,,,,,,KOTWALIBangur1,800,,101172
ROCKSTRONG,Delhi,PUNJABI BAGH,DELHI,12-04-2023,NETAJI SUBHASH PLACE,882822,DELHI CEMENT DISTRIBUTORS,Dealer,28.6908349,77.1530101,,,,,,,,,,,PUNJABI BAGHRockstrong1,2000,,101404
ROCKSTRONG,Delhi,ROHINI,DELHI,13-04-2023,MANGOLPURI,854926,GUPTA MARBLE TILES AND CEMENT,Dealer,28.695255,77.10076,,,,,,,,,,,ROHINIRockstrong2,500,,101358
ROCKSTRONG,Delhi,ROHINI,DELHI,14-04-2023,ROHINI,759160,UNITED AGENCIES,Dealer,28.67775097,77.13489155,,,,,,,,,,,ROHINIRockstrong2,100,,101207
ROCKSTRONG,Delhi,ROHINI,DELHI,15-04-2023,ROHINI SEC 22,293568,YADAV TRADERS,Dealer,28.7247937,77.0624,,,,,,,,,,,ROHINIRockstrong1,2000,,101130
ROCKSTRONG,Delhi,ROHINI,DELHI,16-04-2023,PHALADPUR,615659,AGGARWAL BUILDING MATERIAL SUPPLIER,Dealer,28.753115,77.075706,,,,,,,,,,,ROHINIRockstrong1,1800,,101161
ROCKSTRONG,Delhi,ROHINI,DELHI,17-04-2023,ROHINI,11792,BHARDWAJ ENTERPRISES,Dealer,28.73617,77.12519,,,,,,,,,,,ROHINIRockstrong2,250,,101074
ROCKSTRONG,Delhi,ROHINI,DELHI,18-04-2023,VIJAY VIHAR,725397,DIMPLE SALES PRIVATE LIMITED,Dealer,28.705439,77.098711,,,,,,,,,,,ROHINIRockstrong2,1000,,101201
ROCKSTRONG,Delhi,ROHINI,DELHI,19-04-2023,ROHINI,896458,KRISHNA ASSOCIATES,Dealer,28.710799,77.072713,,,,,,,,,,,ROHINIRockstrong1,250,,101425
ROCKSTRONG,Delhi,ROHINI,DELHI,20-04-2023,ROHINI SEC-24,889470,MAYANK ENTERPRISES,Dealer,28.708381,77.07575,,,,,,,,,,,ROHINIRockstrong1,2000,,101415
ROCKSTRONG,Delhi,ROHINI,DELHI,21-04-2023,MANGOLPURI,634885,RAI BUILDING MATERIALS,Dealer,28.6927353,77.0858617,,,,,,,,,,,ROHINIRockstrong2,350,,101169
ROCKSTRONG,Delhi,ROHINI,DELHI,22-04-2023,ROHINI,11796,SHREE VINAYAK SALES,Dealer,28.7265312,77.0964462,,,,,,,,,,,ROHINIRockstrong1,100,,101075
ROCKSTRONG,Delhi,ROHINI,DELHI,23-04-2023,SAHABAD DAIRY,847546,VISHAL STEEL & BUILDING MATERIALS,Dealer,28.746733,77.094321,,,,,,,,,,,ROHINIRockstrong1,500,,101331
ROCKSTRONG,Delhi,ROHINI,DELHI,24-04-2023,ROHINI,843584,YADAV SALES,Dealer,28.702957,77.122542,,,,,,,,,,,ROHINIRockstrong2,4000,,101339
ROCKSTRONG,Delhi,RAJOURI GARDEN,DELHI,25-04-2023,INDER PURI,726506,PAWAN BUILDING MATERIAL SUPPLER,Dealer,28.62945202,77.14998,,,,,,,,,,,RAJOURI GARDENRockstrong2,200,,101199
ROCKSTRONG,Delhi,RAJOURI GARDEN,DELHI,26-04-2023,"NIHAL VIHAR, NANGLOI",874249,RAM RAHIM CONSTRUCTIONS,Dealer,28.667041,77.066762,,,,,,,,,,,RAJOURI GARDENRockstrong1,100,,101400
ROCKSTRONG,Delhi,RAJOURI GARDEN,DELHI,27-04-2023,SUBHASH NAGAR,774826,V.N.TRADING CO,Dealer,28.659369,77.126356,,,,,,,,,,,RAJOURI GARDENRockstrong2,1200,,101228
ROCKSTRONG,Delhi,CIVIL LINES,DELHI,28-04-2023,RANA PRATAP BAGH,291300,PREM BUILDING MATERIAL SUPPLIER,Dealer,28.68764473,77.19350742,,,,,,,,,,,CIVIL LINESRockstrong1,100,,101119
ROCKSTRONG,Delhi,ALIPUR,DELHI,29-04-2023,BAKHTAWARPUR,276401,SHREE BALAJI TRADERS,Dealer,28.824814,77.172236,,,,,,,,,,,ALIPURRockstrong1,300,,101112
ROCKSTRONG,Delhi,ALIPUR,DELHI,30-04-2023,BAKHTAWARPUR,898108,SHREE LAXMI STEEL & TRADERS,Dealer,28.83324793,77.17914195,,,,,,,,,,,ALIPURRockstrong1,100,,101434
ROCKSTRONG,Delhi,ALIPUR,DELHI,01-05-2023,ALIPUR,307837,JAI VIJAY STEELS,Dealer,28.795566,77.139368,,,,,,,,,,,ALIPURRockstrong2,250,,101132
SHREE,Delhi,PUNJABI BAGH,DELHI,02-05-2023,RAJAGARDEN,218018,AGARSAIN STEELS,Dealer,28.721271,77.175822,,,,,,,,,,,PUNJABI BAGHShree1,85,,101098
SHREE,Delhi,PUNJABI BAGH,DELHI,03-05-2023,PITAMPURA,849733,AJMR MARKETING PRIVATE LIMITED,Dealer,28.692386,77.148048,,,,,,,,,,,PUNJABI BAGHShree1,400,,101299
SHREE,Delhi,PUNJABI BAGH,DELHI,04-05-2023,TRI NAGAR,863513,GARG BUILDING MATERIAL,Dealer,28.632267,77.148752,,,,,,,,,,,PUNJABI BAGHShree1,130,,101362
SHREE,Delhi,PUNJABI BAGH,DELHI,05-05-2023,RAJA GARDEN,786162,INDOZ INTERNATIONAL,Dealer,28.65473095,77.13646344,,,,,,,,,,,PUNJABI BAGHShree1,95,,101233
SHREE,Delhi,PUNJABI BAGH,DELHI,06-05-2023,LIBASPUR,898902,SANJAY TRADERS,Dealer,28.756729,77.139252,,,,,,,,,,,PUNJABI BAGHShree1,550,,101430
SHREE,Delhi,PUNJABI BAGH,DELHI,07-05-2023,SHAKURBASTI SIDING,302176,V.K. ENTERPRISES,Dealer,28.6685583,77.1491277,,,,,,,,,,,PUNJABI BAGHShree1,1250,,101137
SHREE,Delhi,PUNJABI BAGH,DELHI,08-05-2023,RAJA GARDEN,689064,VIJAY SALES,Dealer,28.65126174,77.13416898,,,,,,,,,,,PUNJABI BAGHShree1,400,,101175
SHREE,Delhi,PUNJABI BAGH,DELHI,09-05-2023,SHAKURBASTI,1594,VIKAS TRADING COMPANY,Dealer,28.678649,77.134591,,,,,,,,,,,PUNJABI BAGHShree1,3900,,101093
SHREE,Delhi,PUNJABI BAGH,DELHI,10-05-2023,JAHANGIRPURI,867305,YADAV ENTERPRISES,Dealer,28.7516611,77.171277,,,,,,,,,,,PUNJABI BAGHShree1,150,,101382
SHREE,Delhi,PUNJABI BAGH,DELHI,11-05-2023,"3rd FLOOR, BALRAMA HOUSE, HEMWATI NANDAN BAHUGUNA MARG, KARAMPURA, NEW DELHI - 110015",1922,GUPTA TRADING CO,Dealer,28.662678,77.146658,,,,,,,,,,,PUNJABI BAGHShree1,400,,101057
SHREE,Delhi,PUNJABI BAGH,DELHI,12-05-2023,SHALIMAR BAGH ,902539,URBAN BUILDCON,Dealer,28.698951,77.191452,,,,,,,,,,,PUNJABI BAGHShree1,250,,101444
SHREE,Delhi,PUNJABI BAGH,DELHI,13-05-2023,"SHRI NAGAR, SAKURBASTI",830511,VIKAS TRADING CO,Dealer,28.678649,77.134591,,,,,,,,,,,PUNJABI BAGHShree1,1600,,101268
SHREE,Delhi,PUNJABI BAGH,DELHI,14-05-2023,MAIN ROAD SATYAM VIHAR CHANCHAL PARK,727591,SHAKTI BUILDING MATERIAL STORE,Dealer,28.648975,77.021876,,,,,,,,,,,PUNJABI BAGHShree2,100,,101197
SHREE,Delhi,MODEL TOWN,DELHI,15-05-2023,ADARSH NAGAR,309547,AGGARWAL CEMENT TRADERS,Dealer,28.718568,77.17246,,,,,,,,,,,MODEL TOWNShree3,300,,101147
SHREE,Delhi,MODEL TOWN,DELHI,16-05-2023,DERAWAL NAGAR,231905,ANURAG TRADERS,Dealer,28.697026,77.188653,,,,,,,,,,,MODEL TOWNShree1,800,,101100
SHREE,Delhi,MODEL TOWN,DELHI,17-05-2023,RANA PRATAP BAGH,1569,ASHOK KUMAR AND SONS,Dealer,28.60997,77.07485,,,,,,,,,,,MODEL TOWNShree2,250,,101055
SHREE,Delhi,MODEL TOWN,DELHI,18-05-2023,NIRANKARI COLONY,849180,GROVER AGENCIES,Dealer,28.709897,77.205049,,,,,,,,,,,MODEL TOWNShree1,300,,101311
SHREE,Delhi,MODEL TOWN,DELHI,19-05-2023,RANA PRATAP BAGH,1718,R.K. BUILDING MATERIAL SUPPLIERS,Dealer,28.682809,77.197828,,,,,,,,,,,MODEL TOWNShree1,50,,101062
SHREE,Delhi,MODEL TOWN,DELHI,20-05-2023,MUKHERJEE NAGAR,847588,SAHNI BUILDERS STORE,Dealer,28.702343,77.205573,,,,,,,,,,,MODEL TOWNShree1,400,,101334
SHREE,Delhi,MODEL TOWN,DELHI,21-05-2023,ADARSH NAGAR,899756,SANGHARSH ENTERPRISES,Dealer,28.718957,77.17965,,,,,,,,,,,MODEL TOWNShree3,200,,101431
SHREE,Delhi,MODEL TOWN,DELHI,22-05-2023,JAHANGIRPURI,845000,SHAAN TRADERS,Dealer,28.730799,77.163785,,,,,,,,,,,MODEL TOWNShree3,300,,101320
SHREE,Delhi,PATEL NAGAR,DELHI,23-05-2023,INDERLOK,806240,ANGEL TRADERS,Dealer,28.671535,77.162481,,,,,,,,,,,PATEL NAGARShree1,100,,101258
SHREE,Delhi,PATEL NAGAR,DELHI,24-05-2023,SHASTRI NAGAR,849184,CHAUDHARY ENTERPRISES,Dealer,28.673763,77.18441686,,,,,,,,,,,PATEL NAGARShree1,300,,101298
SHREE,Delhi,PATEL NAGAR,DELHI,25-05-2023,PREM NAGAR,312641,M.R.CEMENT,Dealer,28.65404,77.16286,,,,,,,,,,,PATEL NAGARShree1,200,,101138
SHREE,Delhi,CIVIL LINES,DELHI,26-05-2023,NATHUPURA,78418,ANKIT BUILDERS,Dealer,28.769301,77.177593,,,,,,,,,,,CIVIL LINESShree1,350,,101080
SHREE,Delhi,CIVIL LINES,DELHI,27-05-2023,KESHAV NAGAR,886541,GOEL BUILDERS,Dealer,28.779114,77.177505,,,,,,,,,,,CIVIL LINESShree1,700,,101406
SHREE,Delhi,CIVIL LINES,DELHI,28-05-2023,SANT NAGAR,804845,JAIN TRADERS,Dealer,28.740567,77.197827,,,,,,,,,,,CIVIL LINESShree1,800,,101256
SHREE,Delhi,CIVIL LINES,DELHI,29-05-2023,NEHRU VIHAR,288186,L.K. TRADERS,Dealer,28.707853,77.224711,,,,,,,,,,,CIVIL LINESShree1,300,,101113
SHREE,Delhi,CIVIL LINES,DELHI,30-05-2023,KAUSHIK ENCLAVE,308578,MAYANK STEEL,Dealer,28.750116,77.19891,,,,,,,,,,,CIVIL LINESShree1,400,,101142
SHREE,Delhi,CIVIL LINES,DELHI,31-05-2023,BURARI,1422,NEW AGGARWAL BUILDERS,Dealer,28.745622,77.202113,,,,,,,,,,,CIVIL LINESShree1,950,,101046
SHREE,Delhi,CIVIL LINES,DELHI,01-06-2023,NEHRU VIHAR,782619,SAHNI BUILDERS,Dealer,28.711954,77.221744,,,,,,,,,,,CIVIL LINESShree1,4200,,101218
SHREE,Delhi,CIVIL LINES,DELHI,02-06-2023,WAZIRABAD,857224,SHAKTI ASSOCIATES,Dealer,28.724162,77.222051,,,,,,,,,,,CIVIL LINESShree1,450,,101354
SHREE,Delhi,CIVIL LINES,DELHI,03-06-2023,NATHUPURA,905336,SSKT BUILDCON PRIVATE LIMITED,Dealer,28.762323,77.186461,,,,,,,,,,,CIVIL LINESShree1,200,,101438
SHREE,Delhi,CIVIL LINES,DELHI,04-06-2023,NEHRU VIHAR,846376,SUNIL TRADERS,Dealer,28.7104897,77.2235247,,,,,,,,,,,CIVIL LINESShree1,700,,101332
SHREE,Delhi,CIVIL LINES,DELHI,05-06-2023,"JHARODA,MILAN VIHAR",607506,TYAGI TRADERS,Dealer,28.7301748,77.2071497,,,,,,,,,,,CIVIL LINESShree1,150,,101156
SHREE,Delhi,CIVIL LINES,DELHI,06-06-2023,DERAWAL NAGAR,899761,URBAN BUILDCON,Dealer,28.71558,77.21619,,,,,,,,,,,CIVIL LINESShree1,100,,101432
SHREE,Delhi,CIVIL LINES,DELHI,07-06-2023,NATHUPURA,753902,V S STEEL,Dealer,28.774739,77.191221,,,,,,,,,,,CIVIL LINESShree1,700,,101212
SHREE,Delhi,CIVIL LINES,DELHI,08-06-2023,ROHINI SEC 22,759001,YADAV TRADERS,Dealer,28.7247937,77.0624,,,,,,,,,,,CIVIL LINESShree2,1336,,101216
SHREE,Delhi,CIVIL LINES,DELHI,09-06-2023,BHALSWA,291716,YADAV TRADERS (BHALASWA),Dealer,28.752358,77.169336,,,,,,,,,,,CIVIL LINESShree1,200,,101118
SHREE,Delhi,CIVIL LINES,DELHI,10-06-2023,Sakur basti,855014,VIKAS TRADING CO,Dealer,28.680202,77.135864,,,,,,,,,,,CIVIL LINESShree2,5000,,
SHREE,Delhi,ROHINI,DELHI,11-06-2023,RITHALA,609710,GARG CEMENT STORE,Dealer,28.716692,77.092379,,,,,,,,,,,ROHINIShree4,2510,,101170
SHREE,Delhi,ROHINI,DELHI,12-06-2023,ROHINI,828728,MA CEMENT2ALL SOLUTIONS LLP ,Dealer,28.713025,77.06091,,,,,,,,,,,ROHINIShree2,2000,,101278
SHREE,Delhi,ROHINI,DELHI,13-06-2023,SHAKURBASTI SIDING,779636,OM CEMENT TRADERS,Dealer,28.702268,77.0598642,,,,,,,,,,,ROHINIShree2,250,,101223
SHREE,Delhi,ROHINI,DELHI,14-06-2023,PHALADPUR,888709,AGGARWAL BUILDING MATERIAL AND SUPPLIERS,Dealer,28.753115,77.075706,,,,,,,,,,,ROHINIShree3,1800,,101409
SHREE,Delhi,ROHINI,DELHI,15-06-2023,ROHINI,1375,ANUSH SALES,Dealer,28.7254803,77.0882276,,,,,,,,,,,ROHINIShree4,4500,,101053
SHREE,Delhi,ROHINI,DELHI,16-06-2023,BUDH VIHAR,779900,BALAJI TRADERS,Dealer,28.7141,77.086834,,,,,,,,,,,ROHINIShree4,250,,101226
SHREE,Delhi,ROHINI,DELHI,17-06-2023,NANGLOI,683345,BANSAL STEEL,Dealer,28.699619,77.051686,,,,,,,,,,,ROHINIShree2,1000,,101181
SHREE,Delhi,ROHINI,DELHI,18-06-2023,VIJAY VIHAR,718343,DIMPLE SALES PRIVATE LIMITED,Dealer,28.705439,77.098711,,,,,,,,,,,ROHINIShree4,1000,,101200
SHREE,Delhi,ROHINI,DELHI,19-06-2023,NERELA,903650,ELITE LANDCRAFT (INDIA) PRIVATE LIMITED,Dealer,28.69908166,77.13799858,,,,,,,,,,,ROHINIShree1,100,,101443
SHREE,Delhi,ROHINI,DELHI,20-06-2023,ROHINI,827421,GARG BUILDTECH,Dealer,28.73039939,77.11272411,,,,,,,,,,,ROHINIShree4,150,,101277
SHREE,Delhi,ROHINI,DELHI,21-06-2023,RITHALA,1200,GARG CEMENT STORE,Dealer,28.716692,77.092379,,,,,,,,,,,ROHINIShree4,7000,,101049
SHREE,Delhi,ROHINI,DELHI,22-06-2023,RANIBAGH,288187,GULATI CEMENT CORPORATION,Dealer,28.689498,77.130665,,,,,,,,,,,ROHINIShree1,1800,,101114
SHREE,Delhi,ROHINI,DELHI,23-06-2023,BUDH VIHAR,1861,JAI DURGA IRON STORE,Dealer,28.715564,77.089128,,,,,,,,,,,ROHINIShree4,3000,,101061
SHREE,Delhi,ROHINI,DELHI,24-06-2023,RANIBAGH,806987,KOHLI CEMENT CORPORAT,Dealer,28.689322,77.130174,,,,,,,,,,,ROHINIShree1,250,,101248
SHREE,Delhi,ROHINI,DELHI,25-06-2023,ROHINI,825284,MA CEMENT2ALL SOLUTIONS LLP,Dealer,28.708381,77.07575,,,,,,,,,,,ROHINIShree2,9500,,101281
SHREE,Delhi,ROHINI,DELHI,26-06-2023,ROHINI,200212,MANOJ BROTHERS PRIVATE LIMITED,Dealer,28.729937,77.087369,,,,,,,,,,,ROHINIShree4,4600,,101096
SHREE,Delhi,ROHINI,DELHI,27-06-2023,ROHINI,779899,P S AGGARWAL BUILDING MATERIAL SUPPLIERS,Dealer,28.738472,77.12632186,,,,,,,,,,,ROHINIShree4,150,,101225
SHREE,Delhi,ROHINI,DELHI,28-06-2023,ROHINI,857232,S TOMAR & BROTHERS LLP,Dealer,28.73828073,77.08320802,,,,,,,,,,,ROHINIShree4,125,,101355
SHREE,Delhi,ROHINI,DELHI,29-06-2023,ROHINI SEC 22,909010,YADAV TRADERS,Dealer,28.7247937,77.0624,,,,,,,,,,,ROHINIShree2,2000,,
SHREE,Delhi,KAROL BAGH,DELHI,30-06-2023,ANAND PARVAT,826767,KIRPA CEMENT AGENCY,Dealer,28.663109,77.181505,,,,,,,,,,,KAROL BAGHShree1,800,,101274
SHREE,Delhi,KAROL BAGH,DELHI,01-07-2023,4/483 ROUSE AVENUE BLOCK C MANDI HOUSE,888252,BULAND ENTERPRISES,Dealer,28.6403109,77.2323894,,,,,,,,,,,KAROL BAGHShree4,900,,101414
SHREE,Delhi,KAROL BAGH,DELHI,02-07-2023,2211 RAJGURU MARG NEAR LEHROI HOTEL PAHARGANJ CHUNA MANDI,904062,DINESH & CO.,Dealer,28.643963,77.210732,,,,,,,,,,,KAROL BAGHShree4,200,,101442
SHREE,Delhi,KAROL BAGH,DELHI,03-07-2023,674 MILIATRY ROAD PUNJABI BASTI ANAND PARWAT NEW DELHI,896345,GOYAL TILES HARDWARE & SANITARYWARE,Dealer,28.658017,77.182206,,,,,,,,,,,KAROL BAGHShree1,50,,101427
SHREE,Delhi,KAROL BAGH,DELHI,04-07-2023,26 A PITAMPURA ROAD AP BLOCK UTTARI PITAMPURA,772781,GUPTA STEEL CO.,Dealer,28.6985142,77.1318729,,,,,,,,,,,KAROL BAGHShree2,1500,,101202
SHREE,Delhi,KAROL BAGH,DELHI,05-07-2023,67 NAYA MOHALLA PRATAP NAGAR NEW DELHI,858960,R.L. BUILDING MATERIAL SUPPLIER,Dealer,28.665187,77.206313,,,,,,,,,,,KAROL BAGHShree1,100,,101372
SHREE,Delhi,KAROL BAGH,DELHI,06-07-2023,"5TH PUSTA,SONIA VIHAR",806367,VARUN TRADERS,Dealer,28.738636,77.253748,,,,,,,,,,,KAROL BAGHShree3,500,,101259
SHREE,Delhi,KAROL BAGH,DELHI,07-07-2023,ASHOK VIHAR,757001,VIJAY SHREE,Dealer,28.6923645,77.176788,,,,,,,,,,,KAROL BAGHShree1,100,,101214
SHREE,Delhi,KAROL BAGH,DELHI,08-07-2023,Old Delhi,672439,N.K. CEMENT AGENCY,Dealer,28.643667,77.230217,,,,,,,,,,,KAROL BAGHShree4,150,,
SHREE,Delhi,DWARKA,DELHI,09-07-2023,"SEC-14, DWARKA",311563,M.R. AGENCIES,Dealer,28.60093,77.03253,,,,,,,,,,,DWARKAShree1,300,,101146
SHREE,Delhi,DWARKA,DELHI,10-07-2023,"KOTLA MUBARKPUR, DELHI",1195,AGGARWAL TRADERS,Dealer,28.611778,77.3022168,,,,,,,,,,,DWARKAShree2,3000,,101048
