"ID","STATE","MONTH","TARGET_TYPE","PREVIOUS","CURRENT","NEXT","ZONE"
1,Andhra Pradesh,2022-11-01,Monthly,7.00,-10.00,-5.00,SOUTH
2,Assam,2022-11-01,Monthly,0.00,0.00,0.00,EAST
3,Bihar,2022-11-01,Monthly,0.00,40.00,15.00,EAST
18,CENTRAL MP,2022-11-01,Monthly,0.00,20.00,5.00,NORTH2
4,Chandigarh,2022-11-01,Monthly,0.00,-15.00,5.00,NORTH1
5,Chattisgarh,2022-11-01,Monthly,10.00,10.00,-3.00,EAST
7,DELHI,2022-11-01,Monthly,-5.00,0.00,17.00,NORTH1
8,Goa,2022-11-01,Monthly,7.00,0.00,10.00,SOUTH
9,Gujarat,2022-11-01,Monthly,-20.00,-10.00,20.00,NORTH2
10,Haryana,2022-11-01,Monthly,-5.00,5.00,4.00,NORTH1
11,Himachal Pradesh,2022-11-01,Monthly,0.00,5.00,5.00,NORTH2
12,Jammu & Kashmir,2022-11-01,Monthly,0.00,5.00,5.00,NORTH2
13,Jharkhand,2022-11-01,Monthly,7.00,0.00,18.00,EAST
14,Karnataka,2022-11-01,Monthly,7.00,10.00,10.00,SOUTH
15,Ladakh,2022-11-01,Monthly,0.00,0.00,0.00,NORTH2
20,MH - EAST,2022-11-01,Monthly,7.00,0.00,5.00,EAST
21,MH - SOUTH,2022-11-01,Monthly,7.00,10.00,10.00,SOUTH
19,MH - WEST,2022-11-01,Monthly,7.00,10.00,5.00,SOUTH
17,MP - EAST,2022-11-01,Monthly,6.00,0.00,5.00,EAST
16,MP - WEST,2022-11-01,Monthly,0.00,20.00,5.00,NORTH2
22,Odisha,2022-11-01,Monthly,0.00,0.00,2.00,EAST
23,Punjab,2022-11-01,Monthly,0.00,-15.00,0.00,NORTH2
24,Rajasthan,2022-11-01,Monthly,-2.00,30.00,5.00,NORTH2
25,Telangana,2022-11-01,Monthly,7.00,-10.00,10.00,SOUTH
6,UP-CENTRAL,2022-11-01,Monthly,-5.00,20.00,17.00,NORTH1
27,UP -EAST,2022-11-01,Monthly,-15.00,10.00,5.00,EAST
26,UP-WEST,2022-11-01,Monthly,-15.00,30.00,0.00,NORTH1
28,Uttranchal,2022-11-01,Monthly,-5.00,10.00,5.00,NORTH1
29,West Bengal,2022-11-01,Monthly,-10.00,10.00,11.00,EAST
