"ZONE","STATE","REGION","DISTRICT","BRAND","PRODUCT","NCR","QUANTITY_INVOICED"
EAST,Bihar,NORTH EAST BIHAR,ARARIA,102,CC,2935,4601.000
EAST,Bihar,NORTH EAST BIHAR,ARARIA,102,PPC,2667,10516.600
EAST,Bihar,NORTH EAST BIHAR,ARARIA,103,CC,2890,2941.350
EAST,Bihar,NORTH EAST BIHAR,ARARIA,103,PPC,2632,12994.400
EAST,Bihar,NORTH EAST BIHAR,KATIHAR,102,CC,3282,2125.350
EAST,Bihar,NORTH EAST BIHAR,KATIHAR,102,PPC,2967,2298.750
EAST,Bihar,NORTH EAST BIHAR,KATIHAR,103,CC,3074,758.900
EAST,Bihar,NORTH EAST BIHAR,KATIHAR,103,PPC,2836,1511.050
EAST,Bihar,NORTH EAST BIHAR,KHAGARIA,102,CC,3240,654.900
EAST,Bihar,NORTH EAST BIHAR,KHAGARIA,102,PPC,2777,2102.800
EAST,Bihar,NORTH EAST BIHAR,KHAGARIA,103,CC,3148,470.900
EAST,Bihar,NORTH EAST BIHAR,KHAGARIA,103,PPC,3118,2123.050
EAST,Bihar,NORTH EAST BIHAR,KISHANGANJ,102,CC,3136,4242.150
EAST,Bihar,NORTH EAST BIHAR,KISHANGANJ,102,PPC,2875,4454.350
EAST,Bihar,NORTH EAST BIHAR,KISHANGANJ,103,CC,2932,2720.800
EAST,Bihar,NORTH EAST BIHAR,KISHANGANJ,103,PPC,2576,5689.750
EAST,Bihar,NORTH EAST BIHAR,MADHEPURA,102,CC,2960,1890.200
EAST,Bihar,NORTH EAST BIHAR,MADHEPURA,102,PPC,2758,2489.650
EAST,Bihar,NORTH EAST BIHAR,MADHEPURA,103,CC,3196,348.500
EAST,Bihar,NORTH EAST BIHAR,MADHEPURA,103,PPC,3041,1473.550
EAST,Bihar,NORTH EAST BIHAR,PURNEA,102,CC,3044,1932.350
EAST,Bihar,NORTH EAST BIHAR,PURNEA,102,PPC,2791,5996.600
EAST,Bihar,NORTH EAST BIHAR,PURNEA,103,CC,2998,2316.950
EAST,Bihar,NORTH EAST BIHAR,PURNEA,103,PPC,2751,3981.650
EAST,Bihar,NORTH EAST BIHAR,SAHARSA,102,CC,3412,1663.100
EAST,Bihar,NORTH EAST BIHAR,SAHARSA,102,PPC,3199,3268.000
EAST,Bihar,NORTH EAST BIHAR,SAHARSA,103,CC,3148,1088.950
EAST,Bihar,NORTH EAST BIHAR,SAHARSA,103,PPC,3023,3101.550
EAST,Bihar,NORTH EAST BIHAR,SUPAUL,102,CC,2958,1438.400
EAST,Bihar,NORTH EAST BIHAR,SUPAUL,102,PPC,2551,3610.400
EAST,Bihar,NORTH EAST BIHAR,SUPAUL,103,CC,2781,617.000
EAST,Bihar,NORTH EAST BIHAR,SUPAUL,103,PPC,2575,2721.350
EAST,Bihar,NORTH WEST BIHAR,BEGUSARAI,102,CC,3382,864.400
EAST,Bihar,NORTH WEST BIHAR,BEGUSARAI,102,PPC,3019,3732.350
EAST,Bihar,NORTH WEST BIHAR,BEGUSARAI,103,CC,3229,1490.950
EAST,Bihar,NORTH WEST BIHAR,BEGUSARAI,103,PPC,3083,3368.950
EAST,Bihar,NORTH WEST BIHAR,DARBHANGA,102,CC,2896,3040.600
EAST,Bihar,NORTH WEST BIHAR,DARBHANGA,102,PPC,2514,11573.350
EAST,Bihar,NORTH WEST BIHAR,DARBHANGA,103,CC,2874,678.450
EAST,Bihar,NORTH WEST BIHAR,DARBHANGA,103,PPC,2579,4786.800
EAST,Bihar,NORTH WEST BIHAR,EAST CHAMPARAN,102,CC,2954,3714.600
EAST,Bihar,NORTH WEST BIHAR,EAST CHAMPARAN,102,PPC,2587,27353.000
EAST,Bihar,NORTH WEST BIHAR,EAST CHAMPARAN,103,CC,2966,1715.200
EAST,Bihar,NORTH WEST BIHAR,EAST CHAMPARAN,103,PPC,2677,12707.850
EAST,Bihar,NORTH WEST BIHAR,GOPALGANJ,102,CC,3004,1882.400
EAST,Bihar,NORTH WEST BIHAR,GOPALGANJ,102,PPC,2540,18823.550
EAST,Bihar,NORTH WEST BIHAR,GOPALGANJ,103,CC,2871,4940.650
EAST,Bihar,NORTH WEST BIHAR,GOPALGANJ,103,PPC,2555,24549.300
EAST,Bihar,NORTH WEST BIHAR,MADHUBANI,102,CC,2862,1738.000
EAST,Bihar,NORTH WEST BIHAR,MADHUBANI,102,PPC,2372,4257.200
EAST,Bihar,NORTH WEST BIHAR,MADHUBANI,103,CC,2688,1224.550
EAST,Bihar,NORTH WEST BIHAR,MADHUBANI,103,PPC,2467,10836.300
EAST,Bihar,NORTH WEST BIHAR,MUZAFFARPUR,102,CC,3191,3291.000
EAST,Bihar,NORTH WEST BIHAR,MUZAFFARPUR,102,PPC,2710,15218.350
EAST,Bihar,NORTH WEST BIHAR,MUZAFFARPUR,103,CC,3105,1533.700
EAST,Bihar,NORTH WEST BIHAR,MUZAFFARPUR,103,PPC,2747,13293.450
EAST,Bihar,NORTH WEST BIHAR,SAMASTIPUR,102,CC,3051,2668.650
EAST,Bihar,NORTH WEST BIHAR,SAMASTIPUR,102,PPC,2526,12638.250
EAST,Bihar,NORTH WEST BIHAR,SAMASTIPUR,103,CC,2783,1033.000
EAST,Bihar,NORTH WEST BIHAR,SAMASTIPUR,103,PPC,2551,9325.000
EAST,Bihar,NORTH WEST BIHAR,SARAN,102,CC,3235,4447.800
EAST,Bihar,NORTH WEST BIHAR,SARAN,102,PPC,2841,16571.150
EAST,Bihar,NORTH WEST BIHAR,SARAN,103,CC,2824,1796.600
EAST,Bihar,NORTH WEST BIHAR,SARAN,103,PPC,2720,18357.700
EAST,Bihar,NORTH WEST BIHAR,SHEOHAR,102,CC,3021,263.000
EAST,Bihar,NORTH WEST BIHAR,SHEOHAR,102,PPC,2563,3254.400
EAST,Bihar,NORTH WEST BIHAR,SHEOHAR,103,CC,2864,650.650
EAST,Bihar,NORTH WEST BIHAR,SHEOHAR,103,PPC,2564,12955.750
EAST,Bihar,NORTH WEST BIHAR,SITAMARHI,102,CC,2967,1258.650
EAST,Bihar,NORTH WEST BIHAR,SITAMARHI,102,PPC,2475,5460.400
EAST,Bihar,NORTH WEST BIHAR,SITAMARHI,103,CC,2848,461.800
EAST,Bihar,NORTH WEST BIHAR,SITAMARHI,103,PPC,2556,6722.600
EAST,Bihar,NORTH WEST BIHAR,SIWAN,102,CC,3030,3763.900
EAST,Bihar,NORTH WEST BIHAR,SIWAN,102,PPC,2618,12001.800
EAST,Bihar,NORTH WEST BIHAR,SIWAN,103,CC,2853,5244.650
EAST,Bihar,NORTH WEST BIHAR,SIWAN,103,PPC,2650,19643.300
EAST,Bihar,NORTH WEST BIHAR,VAISHALI,102,CC,3233,6149.700
EAST,Bihar,NORTH WEST BIHAR,VAISHALI,102,PPC,2733,17963.550
EAST,Bihar,NORTH WEST BIHAR,VAISHALI,103,CC,3021,3686.600
EAST,Bihar,NORTH WEST BIHAR,VAISHALI,103,PPC,2823,22352.700
EAST,Bihar,NORTH WEST BIHAR,WEST CHAMPARAN,102,CC,2921,3208.400
EAST,Bihar,NORTH WEST BIHAR,WEST CHAMPARAN,102,PPC,2519,24904.450
EAST,Bihar,NORTH WEST BIHAR,WEST CHAMPARAN,103,CC,2740,673.350
EAST,Bihar,NORTH WEST BIHAR,WEST CHAMPARAN,103,PPC,2466,29701.700
EAST,Bihar,SOUTH EAST BIHAR,BANKA,102,CC,2859,2470.750
EAST,Bihar,SOUTH EAST BIHAR,BANKA,102,PPC,2405,9846.900
EAST,Bihar,SOUTH EAST BIHAR,BANKA,103,CC,2928,1590.750
