CODE,BRAND,DEPOT NAME,DEPOT CITY,DEPOT TALUKA,DEPOT DISTRICT,DEPOT STATE,ZONE
B1A,BANGUR,B1A:BANGUR MANDI CHAURAHA(BB),(NT)-MANDI CHOURAHA,JAITARAN,PALI,Rajasthan,NORTH
B1S,BANGUR,B1S: BANGUR KHUSKHERA,(TR)-KHUSKHERA,TIJARA,ALWAR,Rajasthan,NORTH
B75,BANGUR,B75: BANGUR SURATGARH,(NT)-BIRDHWAL,SURATGARH,SRIGANGANAGAR,Rajasthan,NORTH
B96,BANGUR,B96: BANGUR KHUSKHERA (BB),(NT)-KHUSKHERA,TIJARA,ALWAR,Rajasthan,NORTH
BB7,BANGUR,BB7: BANGUR  ANDHERI DEORI,(TR)-ANDHERI DEORI,BEAWAR,AJMER,Rajasthan,NORTH
BB8,BANGUR,BB8:BANGUR SMPB RLY SIDING(BB),(NT)-SMPB RLY SIDING,JAITARAN,PALI,Rajasthan,NORTH
BB9,BANGUR,BB9: BANGUR SHREE YARD (BB),(NT)-SHREE YARD,BEAWAR,AJMER,Rajasthan,NORTH
BD2,BANGUR,BD2: BANGUR SHREE YARD,(TR)-SHREE YARD,BEAWAR,AJMER,Rajasthan,NORTH
BD3,BANGUR,BD3: BANGUR-P MANDI CIRCLE(RJ),MANDI CIRCLE,JAITARAN,PALI,Rajasthan,NORTH
BF6,BANGUR,BF6: BANGUR SCL YARD,ANDHERI DEORI,BEAWAR,AJMER,Rajasthan,NORTH
BHN,BANGUR,BHN: BANGUR RAS YARD (RJ),BANGUR CITY,JAITARAN,PALI,Rajasthan,NORTH
BHQ,BANGUR,BHQ: BANGUR KKG YARD (RJ),KHUSKHERA,TIJARA,ALWAR,Rajasthan,NORTH
BHS,BANGUR,BHS: BANGUR SGU YARD (RJ),UDAIPUR UDASAR,SURATGARH,SRIGANGANAGAR,Rajasthan,NORTH
BHT,BANGUR,BHT: BANGUR JGU YARD (RJ),ASALPUR,PHULERA,JAIPUR,Rajasthan,NORTH
BI3,BANGUR,BI3: BANGUR ASALPUR RLY SIDING,ASALPUR RLY SIDING,PHULERA,JAIPUR,Rajasthan,NORTH
BIV,BANGUR,"BIV:BANGUR MANDI CHA,A-DIV(BB)",(NT)-MANDI CHOURAHA,JAITARAN,PALI,Rajasthan,NORTH
BIW,BANGUR,BIW: BANGUR SHREE YARD-DIV(BB),(NT)-SHREE YARD,BEAWAR,AJMER,Rajasthan,NORTH
BIX,BANGUR,BIX: BANGUR KHUSKHERA-DIV (BB),(NT)-KHUSKHERA,TIJARA,ALWAR,Rajasthan,NORTH
BK1,BANGUR,BK1: BANGUR KHUSKHERA-II (BB),(NT)-KHUSHKHERA,TIJARA,ALWAR,Rajasthan,NORTH
BK3,BANGUR,BK3: BANGUR ASALPUR (RJ),(TR)-ASALPUR,PHULERA,JAIPUR,Rajasthan,NORTH
BU2,BANGUR,BU2: BANGUR KHUSKHERA,(TR)-KHUSKHERA,TIJARA,ALWAR,Rajasthan,NORTH
S35,SHREE,S35:SHREE  ANDHERI DEORI,(TR)-ANDHERI DEORI,BEAWAR,AJMER,Rajasthan,NORTH
S4T,SHREE,S4T: SHREE KHUSKHERA,(TR)-KHUSKHERA,TIJARA,ALWAR,Rajasthan,NORTH
S5C,SHREE,S5C:SHREE MANDI CHAURAHA (SC),(NT)-MANDI CHOURAHA,JAITARAN,PALI,Rajasthan,NORTH
S71,SHREE,S71: SHREE  ANDHERI DEORI II,SCL ANDHERI DEORI,BEAWAR,AJMER,Rajasthan,NORTH
S88,SHREE,S88: SHREE SURATGARH,(NT)-BIRDHWAL,SURATGARH,SRIGANGANAGAR,Rajasthan,NORTH
SA2,SHREE,SA2: SHREE KHUSKHERA (SC),(NT)-KHUSKHERA,TIJARA,ALWAR,Rajasthan,NORTH
SC7,SHREE,SC7: SHREE  YARD (SC),(NT)-SHREE YARD,BEAWAR,AJMER,Rajasthan,NORTH
SC9,SHREE,SC9: SHREE SHREE YARD,(TR)-SHREE YARD,BEAWAR,AJMER,Rajasthan,NORTH
SD1,SHREE,SD1: SHREE-R MANDI CIRCLE (RJ),MANDI CIRCLE,JAITARAN,PALI,Rajasthan,NORTH
SE8,SHREE,SE8: SHREE SCL YARD,ANDHERI DEORI,BEAWAR,AJMER,Rajasthan,NORTH
SI4,SHREE,SI4: SHREE KHUSKHERA-II (SC),(NT)-KHUSHKHERA,TIJARA,ALWAR,Rajasthan,NORTH
SI5,SHREE,SI5: SHREE ASALPUR (RJ),(TR)-ASALPUR,PHULERA,JAIPUR,Rajasthan,NORTH
SIS,SHREE,SIS: SHREE RAS YARD (RJ),BANGUR CITY,JAITARAN,PALI,Rajasthan,NORTH
SIT,SHREE,SIT: SHREE KKG YARD (RJ),KHUSKHERA,TIJARA,ALWAR,Rajasthan,NORTH
SIU,SHREE,SIU: SHREE SGU YARD (RJ),UDAIPUR UDASAR,SURATGARH,SRIGANGANAGAR,Rajasthan,NORTH
